id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,relative_velocity,miss_distance,orbiting_body,has_missing_data,orbital_stability_index,diameter_diff,diameter_velocity_ratio,energy_proxy,proximity_risk,approach_month,approach_day,close_approach_date,close_approach_date_display,size_uncertainty
2462238,462238 (2008 CN1),20.66,0.1961349444,0.4385710684,True,18.3555186205,49188925.87487994,Earth,False,3.7316363986459586e-07,0.24243612399999998,0.02389314502452633,147.7655852135746,0.34207662495952396,3,20,2025-03-20,2025-03-20,2.2360679772879877
3840738,(2019 FN2),23.7,0.0483676488,0.1081533507,False,14.4129692253,55448221.33156316,Earth,False,2.599356458905132e-07,0.059785701899999995,0.007503891044889735,22.467093749591367,0.25835581343557046,3,20,2025-03-20,2025-03-20,2.236067978975236
54016204,(2020 FM),24.1,0.040230458,0.0899580388,False,11.2133494046,44904232.42379642,Earth,False,2.497169821047343e-07,0.049727580800000004,0.008022405755330957,11.31125227034451,0.3993862719219577,3,20,2025-03-20,2025-03-20,2.2360679761587603
54132069,(2021 FM),24.76,0.0296862251,0.0663804174,False,13.7026966356,12660924.116322009,Earth,False,1.0822825024229452e-06,0.0366941923,0.004844332408815194,12.463845728543694,0.8306546081748066,3,20,2025-03-20,2025-03-20,2.2360679802296586
54157829,(2021 LR3),24.35,0.0358554334,0.0801751865,False,6.0173680138,66177846.041735664,Earth,False,9.092722676415143e-08,0.0443197531,0.013323962622217774,2.9030407036235037,0.11484239498462094,3,20,2025-03-20,2025-03-20,2.236067979030481
54520917,(2025 DD8),21.609,0.1266936875,0.2832956975,False,19.1895642771,26494792.36814527,Earth,False,7.242768318566499e-07,0.15660200999999999,0.014763008341886787,104.32063119524487,0.6456205760583844,3,20,2025-03-20,2025-03-20,2.236067976946365
54522261,(2025 EU),25.721,0.0190701881,0.0426422369,False,6.3726766369,10855946.198785596,Earth,False,5.870217593389401e-07,0.0235720488,0.0066914170182567735,1.7317442033511783,0.8547969764468804,3,20,2025-03-20,2025-03-20,2.2360679756483366
54523820,(2025 FA),22.529,0.0829382708,0.1854556115,False,14.4642515703,8134212.248418009,Earth,False,1.7781994283605146e-06,0.1025173407,0.01282165278988946,38.800016661100464,0.8912013572041063,3,20,2025-03-20,2025-03-20,2.236067978161898
2138258,138258 (2000 GD2),18.98,0.425162524,0.9506923052,False,27.8620875196,64256255.85150469,Earth,False,4.336089482709496e-07,0.5255297812,0.03412135951878054,738.0185586051699,0.14054450335383561,3,21,2025-03-21,2025-03-21,2.2360679776188364
3786459,(2017 UE),26.9,0.0110803882,0.0247765013,False,5.6218824523,37440397.83626689,Earth,False,1.5015552123365332e-07,0.0136961131,0.004407153922235344,0.7830752555984762,0.49921832060426197,3,21,2025-03-21,2025-03-21,2.236067983610899
3827162,(2018 RR),27.6,0.0080270317,0.0179489885,False,9.4659151018,15796534.905520542,Earth,False,5.992399699311189e-07,0.0099219568,0.0018961704501857292,1.6082930654354866,0.7887144438685076,3,21,2025-03-21,2025-03-21,2.2360679726728874
54132114,(2021 FH1),25.28,0.0233644185,0.052244428,False,13.8405539777,1489339.84572514,Earth,False,9.293079761094565e-06,0.0288800095,0.003774735323757748,10.007991445376497,0.9800794288459519,3,21,2025-03-21,2025-03-21,2.23606797661153
54356391,(2023 HO4),23.15,0.0623096019,0.1393285055,False,5.8874691066,31394016.45599672,Earth,False,1.875347525173195e-07,0.07701890360000001,0.023665263116847485,4.82944540860522,0.5800913133304718,3,21,2025-03-21,2025-03-21,2.236067977510221
54433731,(2024 GT3),24.48,0.0337718597,0.0755161741,False,8.3440008241,43203072.765197925,Earth,False,1.9313442979966645e-07,0.0417443144,0.009050355541898609,5.2576134851670355,0.42214002562080405,3,21,2025-03-21,2025-03-21,2.2360679799934147
54522524,(2025 EY),25.223,0.0239858424,0.0536339742,False,5.536272858,14653760.725974308,Earth,False,3.778055996360553e-07,0.029648131799999998,0.009687740394243407,1.6438983196861905,0.8039995478170802,3,21,2025-03-21,2025-03-21,2.236067981502288
54523944,(2025 FE),24.705,0.030447734,0.0680832029,False,15.0143225523,3022319.260102655,Earth,False,4.967814866715977e-06,0.037635468899999996,0.004534550437613354,15.347988375810768,0.9595751593943211,3,21,2025-03-21,2025-03-21,2.236067974713652
2483656,483656 (2005 ES70),23.76,0.0470494961,0.1052058716,False,12.0535175001,8465703.760025302,Earth,False,1.4238057274123155e-06,0.0581563755,0.008728229879711643,15.285075358790294,0.8867675134021762,3,14,2025-03-14,2025-03-14,2.236067977782232
3114018,(2002 CS11),21.4,0.1394938229,0.3119176705,False,5.4574765793,60380665.61609978,Earth,False,9.038450509967265e-08,0.1724238476,0.05715419314543499,9.290171685450712,0.1923822160625345,3,14,2025-03-14,2025-03-14,2.2360679778889336
3365954,(2007 AF2),21.77,0.1176399894,0.2630510131,False,14.6353682668,60427074.67515968,Earth,False,2.4219885449487594e-07,0.1454110237,0.017973651793697958,56.343949832338254,0.19176147462071472,3,14,2025-03-14,2025-03-14,2.2360679768983385
3724646,(2015 OO35),24.5,0.0334622374,0.0748238376,False,15.5225024255,38324285.99035653,Earth,False,4.050304402123995e-07,0.0413616002,0.004820346330053147,18.028660123902824,0.4873959303578035,3,14,2025-03-14,2025-03-14,2.23606798031981
3758927,(2016 RN1),21.02,0.1661709017,0.3715694322,True,17.1560018113,29647994.13152051,Earth,False,5.78656408767312e-07,0.20539853049999998,0.021658276577894823,109.36343578068167,0.6034451247866812,3,14,2025-03-14,2025-03-14,2.2360679782000603
3770320,(2017 DR109),27.6,0.0080270317,0.0179489885,False,20.3141808196,65676911.26101055,Earth,False,3.093047530641049e-07,0.0099219568,0.0008835693971317828,7.406936253966003,0.12154261654359867,3,14,2025-03-14,2025-03-14,2.2360679726728874
3837683,(2019 AQ5),25.4,0.022108281,0.0494356193,False,4.3449365227,54092292.86630402,Earth,False,8.032450266878248e-08,0.027327338299999997,0.011377754091854961,0.9332690232899314,0.27649194908622365,3,14,2025-03-14,2025-03-14,2.236067982852217
3838894,(2019 ET),24.5,0.0334622374,0.0748238376,False,15.0344278392,48110563.736064084,Earth,False,3.1249743656464507e-07,0.0413616002,0.004976833066098342,16.912732838383903,0.35650018972063036,3,14,2025-03-14,2025-03-14,2.23606798031981
3878589,(2019 TF3),28.0,0.0066765941,0.0149293183,False,13.5470406836,59335472.75085414,Earth,False,2.2831267799083961e-07,0.008252724199999999,0.0011020353927240641,2.7398630002972837,0.2063621272974292,3,14,2025-03-14,2025-03-14,2.236067982626052
54291148,(2022 OC1),22.06,0.102933082,0.2301653685,False,17.6158766376,19455122.270489346,Earth,False,9.054621396196918e-07,0.1272322865,0.01306579134465135,71.4247122392568,0.7397792393640731,3,14,2025-03-14,2025-03-14,2.236067977640075
54362907,(2022 DF26),27.2,0.0096506147,0.0215794305,False,7.1572686982,12413545.592859639,Earth,False,5.765692520851507e-07,0.0119288158,0.003015037077681192,1.1054385933204527,0.833963404009928,3,14,2025-03-14,2025-03-14,2.236067978136149
54471058,(2024 RO15),25.29,0.0232570687,0.0520043867,False,8.1382023603,73775922.7416631,Earth,False,1.1030973328245686e-07,0.028747318,0.006390156498650023,3.4442680907962098,0.013214799396371853,3,14,2025-03-14,2025-03-14,2.236067983064435
