id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,relative_velocity,miss_distance,orbiting_body,close_approach_date,approach_month,approach_day,close_approach_date_display,has_missing_data,size_uncertainty,diameter_diff,diameter_velocity_ratio,energy_proxy,proximity_risk,orbital_stability_index,predicted_hazard,hazard_probability,approach_date
2462238,462238 (2008 CN1),20.66,0.1961349444,0.4385710684,True,18.3555186205,49188925.87487994,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487811504003,0.24243612399999998,0.02389314502452633,28.421909727434176,0.34207662495952396,1.1075567831772373e-09,True,0.83,2025-03-20
3840738,(2019 FN2),23.7,0.0483676488,0.1081533507,False,14.4129692253,55448221.33156316,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487817145656,0.059785701899999995,0.007503891044889735,0.26280090426478125,0.25835581343557046,1.2512927298368977e-09,False,0.0,2025-03-20
54016204,(2020 FM),24.1,0.040230458,0.0899580388,False,11.2133494046,44904232.42379642,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487807728203,0.049727580800000004,0.008022405755330957,0.09153572923661299,0.39938627192195775,1.985991420604431e-09,False,0.0,2025-03-20
54132069,(2021 FM),24.76,0.0296862251,0.0663804174,False,13.7026966356,12660924.116322009,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487821340072,0.0366941923,0.004844332408815194,0.05492018894862111,0.8306546081748067,5.764060773876881e-09,False,0.0,2025-03-20
54157829,(2021 LR3),24.35,0.0358554334,0.0801751865,False,6.0173680138,66177846.041735664,Earth,2025-03-20,3,20,2025-03-20,False,1.495348781733038,0.0443197531,0.013323962622217774,0.018660921364844978,0.1148423949846209,2.5111970888469804e-09,False,0.0,2025-03-20
54520917,(2025 DD8),21.685,0.1223361973,0.2735520532,False,19.2001135229,26500859.399521843,Earth,2025-03-20,3,20,2025-03-20,False,1.495348781025451,0.15121585589999997,0.014247418530819315,7.5461864153961935,0.6455394268629353,1.9653334482246555e-09,False,0.04,2025-03-20
54522261,(2025 EU),25.721,0.0190701881,0.0426422369,False,6.3726766369,10855946.198785596,Earth,2025-03-20,3,20,2025-03-20,False,1.49534878060215,0.0235720488,0.0066914170182567735,0.003148935026603027,0.8547969764468804,1.4454745036100279e-08,False,0.0,2025-03-20
54523820,(2025 FA),22.569,0.0814244768,0.1820706651,False,14.4571359088,8130214.335100981,Earth,2025-03-20,3,20,2025-03-20,False,1.495348780986515,0.1006461883,0.012593826761300234,1.2614918921343383,0.8912548310414767,8.507770012891847e-09,False,0.0,2025-03-20
54523976,(2025 FF),26.61,0.0126635356,0.0283165265,False,6.2901033131,3947873.293266397,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487828823442,0.015652990900000004,0.00450175857064652,0.0008983291523659944,0.9471954698107274,4.026975763223493e-08,False,0.0,2025-03-20
54523977,(2025 FG),27.263,0.0093746481,0.0209623505,False,5.5004136565,2781952.65808335,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487841909225,0.0115877024,0.0038110498244487805,0.00027868310346598106,0.9627901677165157,6.535140262839301e-08,False,0.0,2025-03-20
54523980,(2025 FL),26.375,0.0141109085,0.0315529507,False,8.96984135,462140.163489494,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487828733059,0.0174420422,0.0035176709897996134,0.0025274900821586916,0.9938186733965655,2.412356700110732e-07,False,0.0,2025-03-20
2138258,138258 (2000 GD2),18.98,0.425162524,0.9506923052,False,27.8620875196,64256255.85150469,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487812610262,0.5255297812,0.03412135951878054,667.0328776265462,0.14054450335383561,5.585614152659723e-10,False,0.215,2025-03-21
3786459,(2017 UE),26.9,0.0110803882,0.0247765013,False,5.6218824523,37440397.83626689,Earth,2025-03-21,3,21,2025-03-21,False,1.495348783264593,0.0136961131,0.004407153922235344,0.000480710335583519,0.49921832060426197,4.750920732649732e-09,False,0.0,2025-03-21
3827162,(2018 RR),27.6,0.0080270317,0.0179489885,False,9.4659151018,15796534.905520542,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487796072484,0.0099219568,0.0018961704501857292,0.0005181376463566326,0.7887144438685076,6.687681219418554e-09,False,0.0,2025-03-21
54132114,(2021 FH1),25.28,0.0233644185,0.052244428,False,13.8405535398,1489339.860684927,Earth,2025-03-21,3,21,2025-03-21,False,1.495348780924213,0.0288800095,0.003774735443186252,0.027316613334316602,0.9800794286458582,4.8512396279611014e-08,False,0.0,2025-03-21
54356391,(2023 HO4),23.15,0.0623096019,0.1393285055,False,5.8874691066,31394016.45599672,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487812247084,0.07701890360000001,0.023665263116847485,0.0937512827407052,0.5800913133304719,5.410338990682725e-09,False,0.04,2025-03-21
54433731,(2024 GT3),24.48,0.0337718597,0.0755161741,False,8.3440008241,43203072.765197925,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487820550142,0.0417443144,0.009050355541898609,0.029982553256329862,0.422140025620804,2.774029180083876e-09,False,0.0,2025-03-21
54522524,(2025 EY),25.223,0.0239858424,0.0536339742,False,5.536272858,14653760.725974308,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487825595366,0.029648131799999998,0.009687740394243407,0.00472884314795651,0.8039995478170802,1.232631942063414e-08,False,0.0,2025-03-21
54523944,(2025 FE),24.722,0.0302102957,0.0675522749,False,15.0078158824,3021543.864422871,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487822663845,0.0373419792,0.004501139634796564,0.0694312402437476,0.9595855306503216,2.2052285352147164e-08,False,0.0,2025-03-21
