id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,relative_velocity,miss_distance,orbiting_body,close_approach_date,approach_month,approach_day,close_approach_date_display,has_missing_data,size_uncertainty,diameter_diff,diameter_velocity_ratio,energy_proxy,proximity_risk,orbital_stability_index,predicted_hazard,hazard_probability
2462238,462238 (2008 CN1),20.66,0.1961349444,0.4385710684,True,18.3555186205,49188925.87487994,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487811504003,0.24243612399999998,0.02389314502452633,28.421909727434176,0.34207662495952396,1.1075567831772373e-09,True,0.72
3840738,(2019 FN2),23.7,0.0483676488,0.1081533507,False,14.4129692253,55448221.33156316,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487817145656,0.059785701899999995,0.007503891044889735,0.26280090426478125,0.25835581343557046,1.2512927298368977e-09,False,0.0
54016204,(2020 FM),24.1,0.040230458,0.0899580388,False,11.2133494046,44904232.42379642,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487807728203,0.049727580800000004,0.008022405755330957,0.09153572923661299,0.39938627192195775,1.985991420604431e-09,False,0.0
54132069,(2021 FM),24.76,0.0296862251,0.0663804174,False,13.7026966356,12660924.116322009,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487821340072,0.0366941923,0.004844332408815194,0.05492018894862111,0.8306546081748067,5.764060773876881e-09,False,0.0
54157829,(2021 LR3),24.35,0.0358554334,0.0801751865,False,6.0173680138,66177846.041735664,Earth,2025-03-20,3,20,2025-03-20,False,1.495348781733038,0.0443197531,0.013323962622217774,0.018660921364844978,0.1148423949846209,2.5111970888469804e-09,False,0.0
54520917,(2025 DD8),21.678,0.1227311989,0.2744353037,False,19.1834225814,26475827.098176017,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487812200017,0.15170410480000002,0.014305857181402499,7.606276767604889,0.6458742448304666,1.968903223541648e-09,False,0.135
54522261,(2025 EU),25.721,0.0190701881,0.0426422369,False,6.3726766369,10855946.198785596,Earth,2025-03-20,3,20,2025-03-20,False,1.49534878060215,0.0235720488,0.0066914170182567735,0.003148935026603027,0.8547969764468804,1.4454745036100279e-08,False,0.0
54523820,(2025 FA),22.547,0.0822536117,0.1839246672,False,14.4514940896,8127047.527710525,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487813997925,0.1016710555,0.012727034731471893,1.2994076997146193,0.8912971884739551,8.514407875322714e-09,False,0.0
54523976,(2025 FF),26.622,0.0125937474,0.0281604752,False,6.2902232917,3948110.525568643,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487791539666,0.0155667278,0.0044768641579318764,0.0008835925840023988,0.9471922967250341,4.026656986898091e-08,False,0.0
54523977,(2025 FG),27.229,0.0095225876,0.0212931532,False,5.4973537805,2779984.383947973,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487813863735,0.011770565600000001,0.003873345986123405,0.0002917610476800133,0.9628164942430483,6.543407340986892e-08,False,0.0
54523980,(2025 FL),26.415,0.0138533554,0.0309770444,False,8.9710452122,462199.808160263,Earth,2025-03-20,3,20,2025-03-20,False,1.4953487814417357,0.017123689,0.003453002818208225,0.0023922470383388305,0.9938178756230341,2.411721714543677e-07,False,0.0
2138258,138258 (2000 GD2),18.98,0.425162524,0.9506923052,False,27.8620875196,64256255.85150469,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487812610262,0.5255297812,0.03412135951878054,667.0328776265462,0.14054450335383561,5.585614152659723e-10,False,0.255
3786459,(2017 UE),26.9,0.0110803882,0.0247765013,False,5.6218824523,37440397.83626689,Earth,2025-03-21,3,21,2025-03-21,False,1.495348783264593,0.0136961131,0.004407153922235344,0.000480710335583519,0.49921832060426197,4.750920732649732e-09,False,0.0
3827162,(2018 RR),27.6,0.0080270317,0.0179489885,False,9.4659151018,15796534.905520542,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487796072484,0.0099219568,0.0018961704501857292,0.0005181376463566326,0.7887144438685076,6.687681219418554e-09,False,0.0
54132114,(2021 FH1),25.28,0.0233644185,0.052244428,False,13.8405535001,1489339.890604501,Earth,2025-03-21,3,21,2025-03-21,False,1.495348780924213,0.0288800095,0.0037747354540136366,0.027316613177607616,0.9800794282456707,4.8512395444190266e-08,False,0.0
54433731,(2024 GT3),24.48,0.0337718597,0.0755161741,False,8.3440008241,43203072.765197925,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487820550142,0.0417443144,0.009050355541898609,0.029982553256329862,0.422140025620804,2.774029180083876e-09,False,0.0
54522524,(2025 EY),25.223,0.0239858424,0.0536339742,False,5.536272858,14653760.725974308,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487825595366,0.029648131799999998,0.009687740394243407,0.00472884314795651,0.8039995478170802,1.232631942063414e-08,False,0.0
54523944,(2025 FE),24.709,0.0303916988,0.0679579045,False,15.0153130878,3022972.135126909,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487815677977,0.0375662057,0.004525906592997789,0.07076014608832656,0.9595664269056198,2.2030860666113174e-08,False,0.0
54523979,(2025 FJ),27.929,0.0068985049,0.0154255259,False,10.9691165749,933960.490991161,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487812447097,0.008527021000000001,0.0014062687541581376,0.00044163475342333516,0.9875078703700426,9.76112429997797e-08,False,0.0
54523981,(2025 FK),25.015,0.0263970246,0.0590255413,False,11.9615668952,7582295.63558092,Earth,2025-03-21,3,21,2025-03-21,False,1.4953487798362881,0.0326285167,0.004934599439784605,0.029423618594598737,0.8985834830423963,1.1025827989871422e-08,False,0.0
3023012,(1999 RA32),21.39,0.1401376972,0.3133574171,False,6.1703848983,13740421.44865479,Earth,2025-03-22,3,22,2025-03-22,False,1.495348781103156,0.17321971989999999,0.050784095686856254,1.171505811420134,0.8162158597044263,1.1794721505500243e-08,False,0.22
3457435,(2009 HS2),21.96,0.1077841687,0.2410127282,False,21.6337593137,31600094.04438885,Earth,2025-03-22,3,22,2025-03-22,False,1.495348781495751,0.1332285595,0.011140584708612062,6.552151396603867,0.5773349355469839,1.4627820796954728e-09,False,0.09
54178992,(2021 PS2),20.0,0.2658,0.5943468684,True,11.4864866293,10126125.345539438,Earth,2025-03-22,3,22,2025-03-22,False,1.4953487811967603,0.32854686839999997,0.05174313848796254,27.700930588197334,0.8645586492299783,8.597446651728788e-09,True,0.885
2618350,618350 (2021 PS2),19.99,0.2670268771,0.5970902489,True,11.486442467,10126355.36722435,Earth,2025-03-22,3,22,2025-03-22,False,1.4953487810771153,0.33006337179999995,0.05198217382060735,28.0860729519795,0.8645555725894423,8.597284413567971e-09,True,0.91
54341482,(2023 CJ1),25.51,0.0210162379,0.0469937366,False,13.7106506827,47273216.88555142,Earth,2025-03-22,3,22,2025-03-22,False,1.4953487816077176,0.0259774987,0.003427535110299058,0.019509047548681532,0.36770006969707325,1.54286091529637e-09,False,0.0
54431498,(2024 FE1),26.13,0.0157962856,0.0353215683,False,5.017554392,20476347.68698761,Earth,2025-03-22,3,22,2025-03-22,False,1.4953487792399067,0.0195252827,0.007039598485731772,0.001109440748607586,0.7261199032279537,9.733194805788343e-09,False,0.0
54481741,(2024 SH1),26.84,0.0113908197,0.0254706471,False,2.530408934,20644386.48642251,Earth,2025-03-22,3,22,2025-03-22,False,1.4953487792062272,0.0140798274,0.010065822467571164,0.0001058038230485072,0.7238723108665515,1.914288131677815e-08,False,0.0
54482414,(2024 SY1),26.01,0.0166937912,0.0373284519,False,12.0851867895,62576445.23013496,Earth,2025-03-22,3,22,2025-03-22,False,1.495348780712713,0.020634660699999998,0.003088777405776811,0.007596729661038808,0.163012704351996,1.3223174955171495e-09,False,0.0
54486936,(2024 TA1),24.38,0.0353634784,0.0790751417,False,13.736232396,56222786.51877186,Earth,2025-03-22,3,22,2025-03-22,False,1.4953487819469526,0.0437116633,0.005756683450043167,0.09329431839641944,0.24799566563617625,1.2948516181149357e-09,False,0.0
54524054,(2025 FZ),27.589,0.0080677973,0.0180401431,False,7.1525446255,1268458.530830992,Earth,2025-03-22,3,22,2025-03-22,False,1.4953487774294447,0.009972345799999999,0.0025221993073183935,0.00030035930222019086,0.9830338129393998,1.1022069630992951e-07,False,0.0
3092124,(1994 GL),25.5,0.0211132445,0.0472106499,False,22.1706530604,52987376.3725336,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487807845385,0.0260974054,0.0021294208055749634,0.051722190401233444,0.291270689946889,8.512342663489061e-10,False,0.0
3370497,(2007 EE26),26.1,0.0160160338,0.0358129403,False,19.1878407474,72221520.49342754,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487810806276,0.0197969065,0.001866439312868111,0.016911111262227007,0.034005608610848004,7.216178496769215e-10,False,0.0
3562324,(2011 GP44),24.4,0.0350392641,0.0783501764,False,15.3135708394,25052654.061236564,Earth,2025-03-23,3,23,2025-03-23,False,1.495348781133733,0.0433109123,0.0051163884127152295,0.1127905928875534,0.6649098060076214,2.6065723654216414e-09,False,0.0
3633049,(2013 FY7),22.51,0.0836671502,0.1870854353,False,9.491480233,73098359.58092299,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487810977901,0.1034182851,0.01971088078016966,0.5899128161085642,0.022277502709941888,1.4413133904290934e-09,False,0.035
3669221,(2014 HL123),22.48,0.0848310762,0.189688053,False,6.9241694469,27338970.11171851,Earth,2025-03-23,3,23,2025-03-23,False,1.495348781269842,0.1048569768,0.027395062246046663,0.32723165677320476,0.6343293299027248,5.2826296242344045e-09,False,0.045
3693145,(2014 TJ33),23.12,0.0631764148,0.1412667581,False,18.4231377493,32662928.148695514,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487813931055,0.0780903433,0.007667898922666826,0.9568572126929675,0.5631190650318958,1.6618096828245582e-09,False,0.0
3841620,(2019 HM3),27.0,0.0105816886,0.023661375,False,13.1045784138,39363374.81371255,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487803890757,0.013079686399999998,0.0018055807865656314,0.002274919552579428,0.4734976633501403,1.9385839848946176e-09,False,0.0
54132072,(2021 FP),22.84,0.0718712133,0.1607089186,False,21.9699302414,26854911.347029798,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487813878352,0.0888377053,0.007314948970441477,2.003444390294205,0.6408038273738021,1.6949137347522212e-09,False,0.0
54271307,(2022 GS3),24.26,0.0373727432,0.0835679943,False,12.7390348691,22884919.993724115,Earth,2025-03-23,3,23,2025-03-23,False,1.495348781213678,0.0461952511,0.006559994156441461,0.094709379072792,0.6939041962798503,3.430157606639106e-09,False,0.0
54292217,(2022 OC3),28.37,0.0056306039,0.0125904131,False,2.9845992964,16677411.594647931,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487827191672,0.006959809199999999,0.004218460117975119,1.77783726052161e-05,0.7769323332816787,2.009024905067706e-08,False,0.0
54404103,(2023 VO6),28.11,0.0063468024,0.0141918816,False,8.0366282789,25024387.648418576,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487808967545,0.0078450792,0.0017658999654445245,0.0001846153042018322,0.6652878816291303,4.972361095115531e-09,False,0.0
54431184,(2024 FB),25.79,0.0184737464,0.0413085527,False,23.1906848544,70241974.60733965,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487803254275,0.0228348063,0.001781256265580379,0.03790941527630745,0.06048289973396137,6.138888057342781e-10,False,0.0
54519239,(2025 CT2),22.6,0.0802703167,0.1794898848,False,12.2095960092,27236782.948276777,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487815684752,0.0992195681,0.014700722666397261,0.8620302873480379,0.6356961278610379,3.00706555408651e-09,False,0.0
54520926,(2025 DA15),24.98,0.0268259417,0.0599846292,False,7.7570587016,6482072.026992398,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487812007007,0.0331586875,0.007732909019707089,0.01298715702942519,0.9132994545133537,1.9887906500054575e-08,False,0.0
54523641,(2025 EL4),20.953,0.171377963,0.3832127752,False,17.6953421369,12050667.789895717,Earth,2025-03-23,3,23,2025-03-23,False,1.4953487813900976,0.21183481220000003,0.021656138221870746,17.621296729307844,0.8388170531719484,4.689536515049975e-09,False,0.225
2325102,325102 (2008 EY5),20.17,0.2457847746,0.5495914639,False,30.1770124086,69739452.48849533,Earth,2025-03-16,3,16,2025-03-16,False,1.495348781302759,0.3038066893,0.01821225562220913,151.17236910213575,0.06720435263381797,4.751658549884441e-10,False,0.185
3632080,(2013 EG68),24.9,0.0278326768,0.0622357573,False,18.6786907494,22143040.953764476,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487809739652,0.0344030805,0.003331912184583876,0.08410325400468918,0.7038271525786644,2.417777350752024e-09,False,0.0
3758247,(2016 QE44),21.57,0.1289896833,0.2884297004,False,18.2207466839,28319657.452524807,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487815971722,0.1594400171,0.015829740976249826,7.966219655753941,0.6212122082407483,1.9379645733326463e-09,False,0.1
3802451,(2018 GJ2),20.6,0.2016299194,0.4508582062,False,12.2272352529,23280681.33832656,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487814265165,0.2492282868,0.03687327485525131,13.701763676952709,0.6886107153810457,3.5129829786182544e-09,False,0.23
54075550,(2020 UF2),21.73,0.1198270801,0.2679414966,True,14.9425193644,27889193.41130528,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487810847337,0.1481144165,0.017931480633604578,4.29504374110397,0.6269698528689946,2.399607543576214e-09,True,0.66
54194978,(2021 RU7),23.47,0.0537718498,0.1202375114,False,11.8894074986,22378852.689596742,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487810427022,0.0664656616,0.010112994395570863,0.24571991785999103,0.7006730675818186,3.758391092319959e-09,False,0.0
54298762,(2022 QF7),22.05,0.1034081995,0.2312277636,False,19.8013747064,74763912.85209131,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487815029882,0.1278195641,0.011677359124226102,4.847419667038132,0.0,6.754802186735513e-10,False,0.085
54427469,(2024 DQ),24.87,0.0282198679,0.063101543,False,7.777261175,30238534.236589726,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487819266449,0.034881675099999995,0.008113594436411607,0.01519754032184968,0.595546392864537,4.252189206423168e-09,False,0.0
54489167,(2024 TT5),24.64,0.0313729225,0.0701519874,False,16.7378745713,44033322.677797996,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487816173474,0.03877906490000001,0.004191212396840863,0.09672095039446077,0.41103507028971287,1.3568074924344666e-09,False,0.0
